"Realm","Character","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Limit Break Bonus","Mastery Bonus","Relic","Name (JP)","ID"
"II","Firion","Wild Rose Fist","LBO","PHY","Single enemy","Physical","32.00","Holy, Ice, Fire","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Medical Shield (II)","のばらの拳","20270017"
"II","Minwu","Holy Raiment (Minwu)","LBG","NAT","All allies","","","","0.01","Grants [Attach Holy]","N","All allies","250","Holy Damage Up","MND +10","Maduin Gear (II)","聖装【ミンウ】","22120013"
"II","Josef","Heroic Hardhead","LBO","PHY","Single enemy","Physical","32.00","Ice","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Dual Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ice Shield (II)","漢の堅頭","20190017"
"II","Josef","Frost Flash (Josef)","LBG","PHY","Single enemy","Physical","3.36","Ice, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Ice Damage Up","ATK +10","Chakra Band (II)","氷閃【ヨーゼフ】","20190023"
"II","Minwu","Holy Verdict","LBO","WHT","Single enemy","Magical","126.80","Holy","2.50","Five single attacks (3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Golden Staff (II)","ホーリージャッジメント","22120017"
"II","Emperor","Imperial Elements","LBO","BLK","Single enemy","Magical","96.00","Dark, Earth, Wind","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Rod of Darkness (II)","インペリアルエレメンツ","22640021"
"II","Leila","Pirate's Knife","LBO","PHY","Single enemy","Physical","40.00","Water, Poison","3.75","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Crimson Glare (II)","パイレーツ・ナイフ","22130020"
"III","Luneth","Tempest Dash","LBO","PHY","Single enemy","Physical","40.00","Wind","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Kazekiri (III)"," 駆けろ、疾風のごとく","20290015"
"III","Luneth","Wind Flash (Luneth)","LBG","PHY","Single enemy","Physical","3.36","Wind, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Wind Damage Up","ATK +10","Dragoon's Helm (III)","風閃【ルーネス】","20290018"
"III","Cloud of Darkness","Fabled Particle Beam","LBO","BLK","Single enemy","Magical","120.00","Dark","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Thorned Mace (III)","虚構式 波動砲","22670013"
"III","Cloud of Darkness","Spiraling Flash (CoD)","LBG","BLK","Single enemy","Magical","14.80","Dark, Lightning, NE","0.01","Ten single attacks (1.48 each), causes [Imperil Lightning 40% (5s)] and [Imperil Dark 40% (5s)]","N","Lowest HP% enemy","0","Dark Damage Up, Lightning Damage Up","MAG +10","Sleipnir's Tail (III)"," 降閃【暗闇の雲】","22670022"
"III","Onion Knight","Water Flash (Onion Knight)","LBG","BLK","Single enemy","Magical","7.50","Water, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Water Damage Up","MAG +10","Serpent Sword+ (III)","水閃【オニオンナイト】","22460022"
"III","Onion Knight","Onion Specter","LBO","BLK","Single enemy","Magical","96.00","Wind, Water, Fire, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Grand Mace (III)","オニオンスペクトル","22460032"
"III","Refia","Red-Hot Hammer","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ironside (III)","乙女の鉄槌","20430016"
"III","Desch","Owen's Will","LBO","BLK","Single enemy","Magical","120.00","Lightning","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Antiquity Blade (III)","オーエンの意志","22230016"
"IV","Cecil (Paladin)","Sacred Charge","LBO","NAT","Single enemy","Hybrid","-","Holy","2.50","Four single hybrid attacks (1.00 or 3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF/RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Guard of Avalon (IV)","セイクリッドチャージ","20070021"
"IV","Cecil (Dark Knight)","Abyssal Onslaught","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Medical Shield (IV)","アビスチャージ","20060021"
"IV","Edge","Eblan Lotus","LBO","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning","2.50","Four single hybrid attacks (1.00 or 6.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Chakram (IV)","エブラーナ流・蓮華","20980016"
"IV","Palom","Lightning Raiment (Palom)","LBG","NAT","All allies","","","","0.01","Grants [Attach Lightning]","N","All allies","250","Lighting Damage Up","MAG +10","Palom's Guise (IV)","雷装【パロム】","22210010"
"IV","Palom","Triple Crush","LBO","BLK","Single enemy","Magical","96.00","Fire, Lightning, Ice","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Golden Staff (IV)","トリプルクラッシュ","22210012"
"IV","Rydia","Eidolon Confidante","LBO","SUM","Single enemy","Magical","96.00","Water, Holy, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Star Whip (IV)","幻獣に愛されし少女","20090019"
"IV","Rydia","Water Raiment (Rydia)","LBG","NAT","All allies","","","","0.01","Grants [Attach Water]","N","All allies","250","Water Damage Up","MAG +10","Exorcist's Gown (IV)","水装【リディア】","20090021"
"IV","Rydia","Guardian Titan","LBGS","NAT","Self","","","","0.01","Summons Titan for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Earth 3 with Stacking] and [Damage Cap +20000] to Titan","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Beastmaster (IV)","Gタイタン","20090026"
"IV","Kain","Lightning Raiment (Kain)","LBG","NAT","All allies","","","","0.01","Grants [Attach Lightning]","N","All allies","250","Lighting Damage Up","ATK +10","Magic Lance (IV)","雷装【カイン】","20080022"
"IV","Kain","Dual Dragon Dive","LBO","PHY","Single enemy","Physical","32.00","Lightning, Dark","2.50","Four single ranged jump attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Dragon Wrist (IV)","デュアルドラゴンダイブ","20080030"
"IV","Fusoya","Prayer to the Moon","LBO","WHT","Single enemy","Magical","126.80","Holy","2.50","Five single attacks (3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Reticent Staff (IV)","月への祈り","20730017"
"IV","Golbez","Shadow Dragon Unbound","LBO","BLK","Single enemy","Magical","120.00","Dark","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demon's Vest (IV)","真・黒竜召喚","20630022"
"IV","Porom","Bond Flash (Porom)","LBG","NAT","All allies","","","","0.01","Grants [HP Stock (2000)], grants [ATK, DEF, MAG and RES +30% (25s)] if 4+ FF4 allies are alive","N","All allies","0","Prismatic Damage Up","MND +10","Renewing Morion (IV)","絆閃【ポロム】","22220013"
"IV","Rubicante","Blazing Onslaught","LBO","BLK","Single enemy","Magical","120.00","Fire","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Monkish Garb (IV)","炎武の猛攻","22870016"
"IV","Barbariccia","Harsh Wind","LBO","BLK","Single enemy","Magical","120.00","Wind","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Man-Eater (IV)","ぼうふう","23220008"
"IV","Ceodore","Vibra Plus","LBO","PHY","Single enemy","Physical","32.00","Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [High Quick Cast 2] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Lustrous Sword-C (IV)","バイブレイ・セカンド","22720011"
"IV","Ceodore","Divine Flash (Ceodore)","LBG","PHY","Single enemy","Physical","3.36","Holy, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Holy Damage Up","ATK +10","Tyrfing (IV)","聖閃【セオドア】","22720013"
"IV","Tellah","Earth Flash (Tellah)","LBG","BLK","Single enemy","Magical","7.50","Earth, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Earth Damage Up","MAG +10","Enchanted Rod (IV)","地閃【テラ】","20640014"
"V","Galuf","Gaia Gazer","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Adept's Armlet (V)","ガイアゲイザー","20650016"
"V","Faris","Serpent's Roar","LBO","PHY","Single enemy","Physical","32.00","Wind, Fire","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Viking Coat (V)","海竜の咆哮","20930018"
"V","Bartz","Element Bringer","LBO","PHY","Single enemy","Physical","32.00","Fire, Water, Wind, Earth","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Element Bringer (V)","エレメントブリンガー","20400029"
"V","Krile","Earth Raiment (Krile)","LBG","NAT","All allies","","","","0.01","Grants [Attach Earth]","N","All allies","250","Earth Damage Up","MAG +10","Earth Whip (V)","地装【クルル】","20940023"
"V","Krile","Starfall Devastation","LBO","BLK","Single enemy","Magical","72.00","Fire, Earth","2.50","Three single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, grants [50% Damage Reduction Barrier 2] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Steel Snake (V)","いんせき大破壊","20940024"
"V","Gilgamesh","Captain's Duel","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Viper Halberd (V)","親衛隊長の一騎討ち","20810019"
"V","Gogo (V)","Aqua Breath Mastery","LBO","BLK","Single enemy","Magical","96.00","Water","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, casts the last ability used by any ally, default ability (PHY: single, 1.50 physical)","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ruby Cuirass (V)","アクアブレスの極意","22730010"
"V","Exdeath","100 Gs","LBO","BLK","Single enemy","Magical","96.00","Dark, Holy","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Bone Wrist (V)","じゅうりょく100","22080020"
"V","Kelger","Dawn Guidance","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Iga Blade (V)","暁の導き","22510009"
"VI","Terra","Half-Esper Might","LBO","BLK","Single enemy","Magical","96.00","Fire, Wind","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demonsbane (VI)","人と幻獣の力","20100022"
"VI","Terra","Fire Raiment (Terra)","LBG","NAT","All allies","","","","0.01","Grants [Attach Fire]","N","All allies","250","Fire Damage Up","MAG +10","Wildfire Saber (VI)","炎装【ティナ】","20100025"
"VI","Terra","Guardian Maduin","LBGS","NAT","Self","","","","0.01","Summons Maduin for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Maduin","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Chaperon (VI)","Gマディン","20100037"
"VI","Terra","Entwined Bond: Terra (Wind)","LBC","BLK","Single enemy","Magical","26.00","Wind, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode (Terra)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Laevateinn (VI)","紡絆・ティナ風","20100041"
"VI","Locke","Fire Raiment (Locke)","LBG","NAT","All allies","","","","0.01","Grants [Attach Fire]","N","All allies","250","Fire Damage Up","ATK +10","Zwill Blade (VI)","炎装【ロック】","20240021"
"VI","Locke","Guardian Phoenix","LBGS","NAT","Self","","","","0.01","Summons Phoenix for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Phoenix","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Double-Edge (VI)","Gフェニックス","20240025"
"VI","Kefka","Dark Raiment (Kefka)","LBG","NAT","All allies","","","","0.01","Grants [Attach Dark]","N","All allies","250","Dark Damage Up","MAG +10","Madhura Harp (VI)","闇装【ケフカ】","22070012"
"VI","Kefka","Catastrophe Zero","LBO","BLK","Single enemy","Magical","120.00","Dark, Poison","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, deals 1000 BLK magical damage to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demon's Rod (VI)","カタストロフ・ゼロ","22070014"
"VI","Strago","Jet Splash","LBO","BLK","Single enemy","Magical","96.00","Water","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, grants [Magical Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Rune Staff (VI)","ジェットスプラッシュ","20720011"
"VI","Edgar","Royal Blast","LBO","PHY","Single enemy","Physical","32.00","Poison, Fire, Lightning","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Auto Crossbow (VI)","ロイヤルブラスト","20530016"
"VI","Celes","Awoken Blade","LBO","PHY","Single enemy","Physical","32.00","Ice, Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Snowflake Gown (VI)","目醒めし常勝の剣","20210024"
"VI","Shadow","Entwined Bond: Shadow (Dark)","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Shadow)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Stunner (VI)","紡絆・シャドウ闇","20890019"
"VI","Shadow","Dark Escape","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Gorgon Gaze (VI)","闇遁","20890020"
"VII","Tifa","Crushing Palm","LBO","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ehrgeiz (VII)","破砕・掌打クラッシュ","20230017"
"VII","Reno","Pyramid Tetra","LBO","NAT","Single enemy","Hybrid","-","Lightning","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance, causes [ATK and MAG -50% (8s)], grants [50% Damage Reduction Barrier 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Modified Full Metal Staff (VII)","ピラミッド・テトラ","20920011"
"VII","Vincent","Galian Scratch","LBO","NAT","Single enemy","Hybrid","-","Fire","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Outsider (VII)","ガリアンスクラッチ","22170015"
"VII","Genesis","Light of Doom","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Deathbringer (CC) (VII)","終焉の光","23470008"
"VII","Yuffie","Soaring Kunai","LBO","PHY","Single enemy","Physical","24.00","Water, Earth","2.50","Three single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Physical Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Black Garb (VII)","我流・飛苦無","22040020"
"VII","Shelke","Transparent Flash","LBO","PHY","Single enemy","Physical","32.00","Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [50% Damage Reduction Barrier 2] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Dragoon Lance (DoC) (VII)","無式・彩雷","22820010"
"VII","Angeal","True Unleashed Wrath","LBO","PHY","Single enemy","Physical","32.00","Wind, Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Soul Sabre (CC) (VII)","真・憤怒の解放","22500011"
"VII","Red XIII","Comet Soar","LBO","BLK","Single enemy","Magical","120.00","Earth","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Diamant Barrette (VII)","コメットソア","20470016"
"VII","Sephiroth","Dark Illumination","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Blessed Armlet (VII)","闇照","20250027"
"VII","Sephiroth","Entwined Bond: Sephiroth (Dark)","LBC","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode (Sephiroth)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Demon's Vest (VII)","紡絆・セフィロス闇","20250035"
"VII","Barret","Volcanic Cannon","LBO","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Pilebunker (VII)","ボルカニックキャノン","20760019"
"VII","Cloud","Guardian Choco/Mog","LBGS","NAT","Self","","","","0.01","Summons Chocobo and Moogle for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Last Stand], [Attach Wind 3 with Stacking] and [Damage Cap +20000] to Chocobo and Moogle","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Shura Gloves (VII)","Gチョコボ&モーグリ","20110036"
"VII","Cloud","Sonic Buster","LBO","PHY","Single enemy","Physical","32.00","Wind, Dark","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Demon Slayer (VII)","ソニックブレード","20110038"
"VIII","Rinoa","Angel Wing Permafrost","LBO","BLK","Single enemy","Magical","96.00","Ice, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Brynhildr (VIII)","ヴァリー・氷丘","20300022"
"VIII","Rinoa","Entwined Bond: Rinoa","LBC","BLK","Single enemy","Magical","26.00","Ice, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates VIII Chain (max 150, field +0%) or adds 25 to the current VIII Chain maximum limit, grants [Chain Force Mode (Rinoa)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Tezacatlipoca (VIII)","紡絆・リノア","20300032"
"VIII","Laguna","Tactical Frost","LBO","PHY","Single enemy","Physical","40.00","Ice","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Spica (VIII)","タクティカルフリーズ","22100018"
"VIII","Laguna","Entwined Bond: Laguna (Ice)","LBC","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit, grants [Chain Force Mode (Laguna)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Quick Cast 1","","Sandarmerik (VIII)","紡絆・ラグナ氷","22100024"
"VIII","Kiros","Thirst for Life","LBO","PHY","Single enemy","Physical","32.00","Ice, Dark","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Shadow Maverick (VIII)","飽くなき人生","22990007"
"VIII","Raijin","Raijin Destruction Special","LBO","PHY","Single enemy","Physical","32.00","Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Dual Blink 1] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Mjollnir (VIII)","秘技「壊・雷神飛竜昇」","22610011"
"VIII","Ultimecia","Wind Raiment (Ultimecia)","LBG","NAT","All allies","","","","0.01","Grants [Attach Wind]","N","All allies","250","Wind Damage Up","MAG +10","Asura's Rod (VIII)","風装【アルティミシア】","23230016"
