School,Img,Name,Rarity,Type,Target,Formula,Multiplier,Element,Time,Effects,Counter,Auto Target,SB,Uses,Max,Orb 1 Required,1-R1,1-R2,1-R3,1-R4,1-R5,Orb 2 Required,2-R1,2-R2,2-R3,2-R4,2-R5,Orb 3 Required,3-R1,3-R2,3-R3,3-R4,3-R5,Orb 4 Required,4-R1,4-R2,4-R3,4-R4,4-R5,Introducing Event,Name (JP),ID
Black Magic,,Thundaga,3,BLK,Single,Magical,4.90,Lightning,1.8,One single attack (4.90),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Lightning,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #2,サンダガ,30111023.0
Black Magic,,Thundaja,4,BLK,Single,Magical,9.00,Lightning,1.8,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Lightning,5,15,30,45,75,,,,,,,,,,,,,The Pulse Fal'Cie,サンダジャ,30111024.0
Black Magic,,Water,1,BLK,Single,Magical,1.55,Water,1.8,One single attack (1.55),Y,Lowest HP% enemy,55.0,2.0,10.0,Minor Black,2,5,10,20,30,Minor Fire,2,3,6,12,18,Minor Ice,2.0,3.0,6.0,12.0,18.0,,,,,,,Dungeons Update #1,ウォータ,30111031.0
Black Magic,,Watera,2,BLK,Single,Magical,3.05,Water,1.8,One single attack (3.05),Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Fire,3,6,12,18,30,Lesser Ice,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,ウォタラ,30111032.0
Black Magic,,Waterga,3,BLK,Single,Magical,4.90,Water,1.5,One single attack (4.90),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Fire,3,6,12,18,30,Ice,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #4,ウォタガ,30111033.0
Black Magic,,Waterja,4,BLK,Single,Magical,9.00,Water,1.5,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Fire,3,6,12,18,30,Greater Ice,3.0,6.0,12.0,18.0,30.0,,,,,,,The Dreadnought Leviathan,ウォタジャ,30111034.0
Black Magic,,Bio,2,BLK,Single,Magical,2.80,Poison,1.8,"One single attack (2.80), causes Poison (3%)",Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Dark,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #2,バイオ,30111041.0
Black Magic,,Biora,3,BLK,Single,Magical,4.80,Poison,1.8,"One single attack (4.80), causes Poison (3%)",Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Dark,5,15,30,45,75,,,,,,,,,,,,,Dungeons Update #2,バイオラ,30111042.0
Black Magic,,Bioga,4,BLK,Single,Magical,8.80,Poison,1.8,"One single attack (8.80), causes Poison (3%)",Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Dark,5,15,30,45,75,,,,,,,,,,,,,Man in Black,バイオガ,30111043.0
Black Magic,,Dark,3,BLK,Single,Magical,5.00,Dark,1.8,One single attack (5.00),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Non-Elemental,3,6,12,18,30,Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,ダーク,30111051.0
Black Magic,,Darkra,4,BLK,Single,Magical,9.00,Dark,1.8,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Non-Elemental,3,6,12,18,30,Greater Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Third Pilgrimage,ダーラ,30111052.0
Black Magic,,Death,4,BLK,Single,,,,1.8,Causes Instant KO (70%),Y,Random enemy,75.0,1.0,5.0,Greater Black,5,10,20,30,50,Greater Ice,3,6,12,18,30,Greater Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,デス,30111061.0
Black Magic,,Flare,5,BLK,Single,Magical,13.25,-,1.8,Five single attacks (2.65 each),Y,Lowest HP% enemy,85.0,2.0,10.0,Major Black,10,20,30,50,100,Major Non-Elemental,6,12,18,30,60,Major Fire,6.0,12.0,18.0,30.0,60.0,,,,,,,Dungeons Update #2,フレア,30111071.0
Black Magic,,Sleep,1,BLK,Single,,,,1.8,Causes Sleep (30%),Y,Random enemy without status,60.0,2.0,10.0,Minor Black,2,5,10,20,30,Minor Ice,2,3,6,12,18,Minor Dark,2.0,3.0,6.0,12.0,18.0,,,,,,,Dungeons Update #1,スリプル,30111081.0
Black Magic,,Poison,1,BLK,Single,,,,1.8,Causes Poison (30%),Y,Random enemy without status,60.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Dark,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ポイズン,30111091.0
Black Magic,,Confuse,1,BLK,Single,,,,1.8,Causes Confuse (30%),Y,Random enemy without status,60.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Dark,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,コンフュ,30111101.0
Black Magic,,Gravity,3,BLK,Single,,,,1.8,"Damages for 50% of the target's current HP, resisted via Instant KO",Y,Lowest HP% enemy,65.0,2.0,10.0,Black,5,10,20,30,50,Lightning,3,6,12,18,30,Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,グラビデ,30111111.0
Black Magic,,Stop,3,BLK,Single,,,,1.8,Causes Stop (70%),Y,Random enemy without status,65.0,2.0,10.0,Black,5,10,20,30,50,Non-Elemental,3,6,12,18,30,Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,ストップ,30111121.0
Black Magic,,Comet,3,BLK,Single,Magical,5.10,-,1.8,One single attack (5.10),Y,Lowest HP% enemy,65.0,2.0,10.0,Black,5,10,20,30,50,Non-Elemental,3,6,12,18,30,Earth,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,コメット,30111131.0
Black Magic,,Break,4,BLK,Single,,,,1.8,Causes Petrify (25%),Y,Random enemy without status,75.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Non-Elemental,3,6,12,18,30,Greater Earth,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,ブレイク,30111141.0
Black Magic,,Quake,4,BLK,All enemies,Magical,5.60,Earth,1.8,One group attack (5.60),Y,All enemies,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Earth,3,6,12,18,30,Greater Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,クエイク,30111151.0
Black Magic,,Fireball,2,BLK,All enemies,Magical,2.00,Fire,1.65,One group attack (2.00),Y,All enemies,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Fire,8,15,30,45,75,,,,,,,,,,,,,Evil of Mardias,ファイアボール,30111161.0
Black Magic,,Raincall,2,BLK,All enemies,Magical,2.00,Water,1.65,One group attack (2.00),Y,All enemies,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Ice,8,15,30,45,75,,,,,,,,,,,,,Evil of Mardias,レインコール,30111171.0
Black Magic,,Meteor,5,BLK,All enemies,Magical,10.50,-,1.8,Three group attacks (3.50 each),Y,All enemies,85.0,2.0,10.0,Major Black,10,20,30,50,100,Major Non-Elemental,6,12,18,30,60,Major Fire,3.0,6.0,9.0,12.0,15.0,Major Earth,6.0,12.0,18.0,30.0,60.0,Man in Black,メテオ,30111181.0
Black Magic,,Blind,1,BLK,Single,,,,1.8,Causes Blind (30%),Y,Random enemy without status,60.0,4.0,12.0,Minor Black,3,5,10,20,30,Minor Dark,3,8,15,30,45,,,,,,,,,,,,,Touched by Magic,ブライン,30111201.0
Black Magic,,Blindga,3,BLK,Single,,,,1.8,Causes Blind (60%),Y,Random enemy without status,65.0,4.0,12.0,Black,5,10,20,30,50,Dark,8,15,30,45,75,,,,,,,,,,,,,Touched by Magic,ブライガ,30111202.0
Black Magic,,Ruin,2,BLK,Single,Magical,3.00,-,1.8,One group attack (3.00),Y,Lowest HP% enemy,60.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Holy,3,6,12,18,30,Lesser Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Chasing Hope,ルイン,30111211.0
Black Magic,,Ruinga,4,BLK,All enemies,Magical,5.90,-,1.8,One group attack (5.90),Y,All enemies,75.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Holy,3,6,12,18,30,Greater Dark,3.0,6.0,12.0,18.0,30.0,,,,,,,Chasing Hope,ルインガ,30111213.0
Black Magic,,Snowball Flurry,2,BLK,All enemies,Magical,2.00,Ice,1.65,One group attack (2.00),Y,All enemies,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Ice,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #13,陽気なスノーボール,30111221.0
Black Magic,,Lightning,2,BLK,All enemies,Magical,2.00,Lightning,1.65,One group attack (2.00),Y,All enemies,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Lightning,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #16,いかずち,30111231.0
Black Magic,,Ultima,6,BLK,All enemies,Magical,13.50,-,1.8,Three group attacks (4.50 each),Y,All enemies,100.0,2.0,10.0,Black Crystal,10,20,30,50,100,Non-Elemental Crystal,6,12,18,30,60,Fire Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Ultima Record,アルテマ,30111241.0
Black Magic,,Meltdown,6,BLK,Single,Magical,14.80,"Fire, Wind, Earth",1.8,Four single attacks (3.70 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Fire Crystal,6,12,18,30,60,Earth Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Meltdown Record,メルトン,30111251.0
Black Magic,,Chain Blizzaga,5,BLK,Single,Magical,11.80,Ice,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Non-Elemental,6,12,24,36,60,Major Ice,6.0,12.0,24.0,36.0,60.0,,,,,,,Go Go Gullwings!,連続ブリザガ,30111261.0
Black Magic,,Chain Blizzaja,6,BLK,Single,Magical,15.25,Ice,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Non-Elemental Crystal,6,12,18,30,60,Ice Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Forgiveness Over Vengeance,連続ブリザジャ,30111262.0
Black Magic,,Chain Firaga,5,BLK,Single,Magical,11.80,Fire,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Non-Elemental,6,12,24,36,60,Major Fire,6.0,12.0,24.0,36.0,60.0,,,,,,,Friendship Ribbon,連続ファイガ,30111271.0
Black Magic,,Chain Firaja,6,BLK,Single,Magical,15.25,Fire,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Non-Elemental Crystal,6,12,18,30,60,Fire Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Darkest Precepts,連続ファイジャ,30111272.0
Black Magic,,Stone,1,BLK,Single,Magical,1.50,Earth,1.8,One single attack (1.50),Y,Lowest HP% enemy,55.0,2.0,10.0,Minor Black,3,5,10,20,30,Minor Earth,3,8,15,30,45,,,,,,,,,,,,,Thorns of the Rose,ストーン,30111291.0
Black Magic,,Stonera,2,BLK,Single,Magical,2.90,Earth,1.8,One single attack (2.90),Y,Lowest HP% enemy,55.0,2.0,10.0,Lesser Black,5,10,20,30,50,Lesser Earth,8,15,30,45,75,,,,,,,,,,,,,Thorns of the Rose,ストンラ,30111292.0
Black Magic,,Stonega,3,BLK,Single,Magical,4.90,Earth,1.8,One single attack (4.90),Y,Lowest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Earth,8,15,30,45,75,,,,,,,,,,,,,Thorns of the Rose,ストンガ,30111293.0
Black Magic,,Stoneja,4,BLK,Single,Magical,9.00,Earth,1.8,One single attack (9.00),Y,Lowest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Earth,8,15,30,45,75,,,,,,,,,,,,,Thorns of the Rose,ストンジャ,30111294.0
Black Magic,,Chain Stonega,5,BLK,Single,Magical,11.80,Earth,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Earth,6,12,24,36,60,Major Dark,6.0,12.0,24.0,36.0,60.0,,,,,,,Thorns of the Rose,連続ストンガ,30111295.0
Black Magic,,Chain Thundaga,5,BLK,Single,Magical,11.80,Lightning,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Lightning,6,12,24,36,60,Major Wind,6.0,12.0,24.0,36.0,60.0,,,,,,,Heir of the Dynast-King,連続サンダガ,30111301.0
Black Magic,,Chain Thundaja,6,BLK,Single,Magical,15.25,Lightning,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Lightning Crystal,6,12,18,30,60,Wind Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Darkest Precepts,連続サンダジャ,30111302.0
Black Magic,,Chain Biora,5,BLK,Single,Magical,11.80,Poison,1.8,"Four single attacks (2.95 each), causes Poison (3%)",Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Earth,6,12,24,36,60,Major Dark,6.0,12.0,24.0,36.0,60.0,,,,,,,The Lion Wakes,連続バイオラ,30111311.0
Black Magic,,Chain Waterga,5,BLK,Single,Magical,11.80,Water,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Fire,6,12,24,36,60,Major Ice,6.0,12.0,24.0,36.0,60.0,,,,,,,Scouring the Dephts,連続ウォタガ,30111321.0
Black Magic,,Chain Waterja,6,BLK,Single,Magical,15.25,Water,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Fire Crystal,6,12,18,30,60,Ice Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Eye of Violence,連続ウォタジャ,30111322.0
Black Magic,,Tornado,5,BLK,Single,Magical,11.80,Wind,1.8,Four single attacks (2.95 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major Black,10,20,40,60,100,Major Non-Elemental,6,12,24,36,60,Major Wind,6.0,12.0,24.0,36.0,60.0,,,,,,,Triumph over Darkness,トルネド,30111331.0
Black Magic,,Voltech,6,BLK,Single,Magical,14.80,"Ice, Water, Lightning",1.8,Four single attacks (3.70 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Ice Crystal,6,12,18,30,60,Lightning Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Darkest Precepts,ボルテック,30111341.0
Black Magic,,Chain Stoneja,6,BLK,Single,Magical,15.25,Earth,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Earth Crystal,6,12,18,30,60,Dark Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Mired in Despair,連続ストンジャ,30111351.0
Black Magic,,Chain Tornado,6,BLK,Single enemy,Magical,15.25,Wind,1.8,Five single attacks (3.05 each),Y,Lowest HP% enemy,90.0,2.0,10.0,Black Crystal,10,20,30,50,100,Non-Elemental Crystal,6,12,18,30,60,Wind Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Beast of the Sanctuary,連続トルネド,30111361.0
Black Magic,,Drain,3,BLK,Single,Magical,4.50,Dark,1.8,"One single attack (4.50), heals the user for 30% of the damage dealt",Y,Highest HP% enemy,60.0,2.0,10.0,Black,5,10,20,30,50,Dark,8,15,30,45,75,,,,,,,,,,,,,Magitek Facility Infiltration,ドレイン,30991001.0
Black Magic,,Drainga,4,BLK,Single,Magical,7.00,Dark,1.8,"One single attack (7.00), heals the user for 30% of the damage dealt",Y,Highest HP% enemy,70.0,2.0,10.0,Greater Black,5,10,20,30,50,Greater Dark,8,15,30,45,75,,,,,,,,,,,,,Touched by Magic,ドレイガ,30991003.0
White Magic,,Cure,1,WHT,Single,Magical,1.20,Holy,1.5,"Restores HP (30), damages undeads",Y,Lowest HP% ally,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Holy,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ケアル,30121001.0
White Magic,,Cura,2,WHT,Single,Magical,2.00,Holy,1.5,"Restores HP (55), damages undeads",Y,Lowest HP% ally,60.0,4.0,12.0,Lesser White,5,10,20,30,50,Lesser Holy,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,ケアルラ,30121002.0
White Magic,,Curaga,3,WHT,Single,Magical,3.00,Holy,1.5,"Restores HP (80), damages undeads",Y,Lowest HP% ally,65.0,4.0,12.0,White,5,10,20,30,50,Wind,3,6,12,18,30,Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #1,ケアルダ,30121003.0
White Magic,,Curaja,4,WHT,Single,Magical,4.00,Holy,1.5,"Restores HP (105), damages undeads",Y,Lowest HP% ally,75.0,4.0,12.0,Greater White,5,10,20,30,50,Greater Wind,3,6,12,18,30,Greater Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,ケアルガ,30121004.0
White Magic,,Curada,6,WHT,Single ally,Magical,4.00,Holy,1.5,"Restores HP (105), damages undeads, grants HP Stock (2000)",Y,Lowest HP% ally,100.0,4.0,12.0,White Crystal,10,20,30,50,100,Earth Crystal,6,12,18,30,60,Holy Crystal,6.0,12.0,18.0,30.0,60.0,Ability Record,1.0,0.0,0.0,0.0,0.0,Curada Record,ケアルジャ,30121005.0
White Magic,,Vox,1,WHT,Single,,,,1.5,Removes Silence,N,Random ally with status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Ice,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ボキャル,30121010.0
White Magic,,Poisona,1,WHT,Single,,,,1.5,Removes Poison,N,Random ally with status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Dark,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ポイゾナ,30121020.0
White Magic,,Blindna,1,WHT,Single,,,,1.5,Removes Blind,N,Random ally with status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Dark,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,ブラナ,30121030.0
White Magic,,Protect,1,WHT,Single,,,,1.5,Grants Protect,Y,Random ally without status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Earth,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,プロテス,30121040.0
White Magic,,Protectga,4,WHT,All allies,,,,1.5,Grants Protect,Y,All allies,75.0,2.0,10.0,Greater White,5,10,20,30,50,Greater Earth,8,15,30,45,75,,,,,,,,,,,,,Magitek Facility Infiltration,プロテガ,30121042.0
White Magic,,Shell,1,WHT,Single,,,,1.5,Grants Shell,Y,Random ally without status,60.0,4.0,12.0,Minor White,2,5,10,20,30,Minor Earth,2,3,6,12,18,Minor Holy,2.0,3.0,6.0,12.0,18.0,,,,,,,Dungeons Update #1,シェル,30121051.0
White Magic,,Shellga,4,WHT,All allies,,,,1.5,Grants Shell,Y,All allies,75.0,2.0,10.0,Greater White,5,10,20,30,50,Greater Earth,3,6,12,18,30,Greater Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,The Battle Arena,シェルガ,30121052.0
White Magic,,Silence,1,WHT,Single,,,,1.5,Causes Silence (30%),Y,Random enemy without status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Ice,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,サイレス,30121061.0
White Magic,,Silencega,3,WHT,Single,,,,1.5,Causes Silence (60%),Y,Random enemy without status,65.0,4.0,12.0,White,5,10,20,30,50,Ice,8,15,30,45,75,,,,,,,,,,,,,Magitek Facility Infiltration,サイレガ,30121062.0
White Magic,,Slow,1,WHT,Single,,,,1.5,Causes Slow (30%),Y,Random enemy without status,60.0,4.0,12.0,Minor White,3,5,10,20,30,Minor Wind,3,8,15,30,45,,,,,,,,,,,,,Dungeons Update #1,スロウ,30121071.0
White Magic,,Slowga,4,WHT,Single,,,,1.5,Causes Slow (80%),Y,Random enemy without status,75.0,4.0,12.0,Greater White,5,10,20,30,50,Greater Wind,8,15,30,45,75,,,,,,,,,,,,,Magitek Facility Infiltration,スロウガ,30121072.0
White Magic,,Regen,2,WHT,Single,,,,1.5,Grants Low Regen,Y,Random ally without status,60.0,4.0,12.0,Lesser White,5,10,20,30,50,Lesser Holy,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,リジェネ,30121081.0
White Magic,,Stona,2,WHT,Single,,,,1.5,Removes Petrify,N,Random ally with status,60.0,4.0,12.0,Lesser White,5,10,20,30,50,Lesser Earth,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,ストナ,30121091.0
White Magic,,Haste,3,WHT,Single,,,,1.5,Grants Haste,Y,Random ally without status,65.0,4.0,12.0,White,5,10,20,30,50,Wind,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,ヘイスト,30121101.0
White Magic,,Hastega,5,WHT,All allies,,,,1.5,Grants Haste,Y,All allies,85.0,2.0,10.0,Major White,10,20,40,60,100,Major Wind,6,12,24,36,60,Major Holy,6.0,12.0,24.0,36.0,60.0,,,,,,,Summer Sun Festival,ヘイスガ,30121102.0
White Magic,,Esuna,3,WHT,Single,,,,1.5,Removes negative effects,Y,Random ally with status,65.0,2.0,10.0,White,5,10,20,30,50,Wind,3,6,12,18,30,Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,エスナ,30121111.0
White Magic,,Raise,4,WHT,Single,,,,1.5,"Removes KO (20% HP), causes Instant KO (100%) to undeads",Y,Random ally with status,75.0,2.0,10.0,Greater White,5,10,20,30,50,Greater Holy,8,15,30,45,75,,,,,,,,,,,,,Dungeons Update #1,レイズ,30121121.0
White Magic,,Holy,5,WHT,Single,Magical,12.00,Holy,1.5,Four single attacks (3.00 each),Y,Lowest HP% enemy,75.0,2.0,10.0,Major White,10,20,30,50,100,Major Ice,6,12,18,30,60,Major Holy,6.0,12.0,18.0,30.0,60.0,,,,,,,Dungeons Update #2,ホーリー,30121131.0
White Magic,,Hold,2,WHT,Single,,,,1.5,Causes Paralyze (1%),Y,Random enemy without status,60.0,4.0,12.0,Lesser White,5,10,20,30,50,Lesser Earth,3,6,12,18,30,Lesser Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,ホールド,30121141.0
White Magic,,Dia,2,WHT,Single,Magical,2.20,Holy,1.5,One single attack (2.20),Y,Lowest HP% enemy,55.0,4.0,12.0,Lesser White,5,10,20,30,50,Lesser Wind,3,6,12,18,30,Lesser Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Dungeons Update #2,ディア,30121161.0
White Magic,,Diara,3,WHT,Single,Magical,4.20,Holy,1.5,One single attack (4.20),Y,Lowest HP% enemy,60.0,4.0,12.0,White,5,10,20,30,50,Wind,3,6,12,18,30,Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Marriage of Convenience,アディア,30121162.0
White Magic,,Diaga,4,WHT,Single,Magical,8.30,Holy,1.65,One single attack (8.30),Y,Lowest HP% enemy,70.0,4.0,12.0,Greater White,5,10,20,30,50,Greater Wind,3,6,12,18,30,Greater Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Footsteps of the Cetra,ダディア,30121164.0
White Magic,,Dispel,3,WHT,Single,,,,1.5,Removes positive effects,Y,Random enemy with status,65.0,2.0,10.0,White,5,10,20,30,50,Non-Elemental,3,6,12,18,30,Holy,3.0,6.0,12.0,18.0,30.0,,,,,,,Man in Black,デスペル,30121171.0
